#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t0_2_ZKDN230006864-1A_H3JM5DSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t0_2_ZKDN230006864-1A_H3JM5DSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t0_2/t0_2_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t0_2/t0_2_profiled_metagenome.txt
#79665648 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	82.04441	
k__Archaea	2157	17.95559	
k__Bacteria|p__Actinobacteria	2|201174	33.66531	
k__Bacteria|p__Proteobacteria	2|1224	25.71451	
k__Archaea|p__Thaumarchaeota	2157|651137	17.95559	
k__Bacteria|p__Firmicutes	2|1239	12.30963	
k__Bacteria|p__Nitrospirae	2|40117	7.00265	
k__Bacteria|p__Cyanobacteria	2|1117	2.89485	
k__Bacteria|p__Bacteroidetes	2|976	0.45747	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	33.60054	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	17.12243	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	12.47519	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	12.30963	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	7.00265	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.20037	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	3.18503	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	3.16548	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	3.10162	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	2.89485	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.83316	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2|976|1853228	0.45747	
