#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t0_1_ZKDN230006863-1A_H3JM5DSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t0_1_ZKDN230006863-1A_H3JM5DSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t0_1/t0_1_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t0_1/t0_1_profiled_metagenome.txt
#60991864 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	74.58025	
k__Archaea	2157	25.41975	
k__Bacteria|p__Actinobacteria	2|201174	28.7687	
k__Archaea|p__Thaumarchaeota	2157|651137	25.41975	
k__Bacteria|p__Proteobacteria	2|1224	24.82395	
k__Bacteria|p__Firmicutes	2|1239	10.53842	
k__Bacteria|p__Nitrospirae	2|40117	8.19615	
k__Bacteria|p__Cyanobacteria	2|1117	2.25302	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	28.71786	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	23.91635	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	14.09323	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	10.53842	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	8.19615	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	5.82131	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	2.62259	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	2.25302	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.87126	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	1.5034	
k__Bacteria|p__Proteobacteria|c__CFGB11088	2|1224|	0.36482	
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.05085	
k__Bacteria|p__Proteobacteria|c__CFGB35538	2|1224|	0.05074	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	25.53754	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	23.91635	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	14.09323	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	10.53842	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	8.19615	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626	2|1224||	5.82131	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	1.96166	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales	2|1117||52604	1.81028	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	1.5034	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	1.04703	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	2|1224|1236|1692040	0.82423	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.4817	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcidiopsidales	2|1117||1890505	0.44273	
k__Bacteria|p__Proteobacteria|c__CFGB11088|o__OFGB11088	2|1224||	0.36482	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.17923	
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Gaiellales	2|201174|84995|1154584	0.05085	
k__Bacteria|p__Proteobacteria|c__CFGB35538|o__OFGB35538	2|1224||	0.05074	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	2|201174|1760|85009|85015	25.53754	
