#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	t0_1d_metagenome	t0_2d_metagenome	t0_3d_metagenome	t1_1d_metagenome	t1_2d_metagenome	t1_3d_metagenome	t2_1d_metagenome	t2_2d_metagenome	t2_3d_metagenome	t3_1d_metagenome	t3_2d_metagenome	t3_3d_metagenome	t4_1d_metagenome	t4_2d_metagenome	t4_3d_metagenome	t5_1d_metagenome	t5_2d_metagenome	t5_3d_metagenome	t6_1d_metagenome	t6_2d_metagenome	t6_3d_metagenome
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	23.91635	17.12243	19.88241	0.58787	1.33688	0.76188	3.28693	1.37334	1.16111	1.57115	3.93133	1.95866	4.75509	7.32287	3.67647	4.7263	9.26495	2.38362	50.58805	48.70443	50.69166
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	14.09323	12.44146	14.81227	37.53128	60.19771	44.51792	47.15972	22.96445	19.76377	17.78979	52.19664	16.56527	19.60009	44.88251	12.35102	15.97549	42.2925	11.55302	5.79372	5.02213	5.73848
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	10.53842	12.30963	13.80797	0.64766	0.86675	0.87884	3.03102	6.16474	20.74682	6.49512	3.07129	25.48763	8.06908	3.75074	28.11242	11.91191	8.01213	39.03507	11.76703	9.86323	11.1566
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	8.19615	7.00265	6.57247	0.06656	0.32721	0.13799	0.08342	0.12347	0.10282	0.01183	0.07821	0.04429	0.02661	0.25965	0.04272	0.09868	0.20528	0.1327	1.46385	2.05852	1.74232
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626	5.82131	3.18503	4.38012	0.21693	0.55891	0.31062	0.97762	0.60953	0.49474	0.60964	0.82101	0.65502	0.79397	1.57439	0.78692	0.50397	1.15919	0.587	7.24557	11.15471	10.11512
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1.96166	1.41892	1.13089	0.85462	1.28742	0.64689	2.55131	3.94817	3.46568	4.81032	1.95016	3.2794	10.14389	5.78994	6.2696	11.14795	5.9667	7.22748	3.22633	2.32193	3.25321
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales	1.81028	2.23674	1.80207	0.07341	0.10042	0.1265	0.11662	0.10994	0.12094	0.12801	0.1264	0.07431	0.05641	0.12158	0.04403	0.0438	0.0812	0.03097	0.99027	0.76177	0.67889
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	1.5034	0.83316	0.87715	0.06312	0.31682	0.21977	1.39276	0.61516	0.48411	0.66004	1.47786	0.63137	0.94869	0.91759	0.26008	0.16362	0.35612	0.06304	3.44162	4.02243	3.62585
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1.04703	1.56915	1.3327	2.87783	17.17068	1.37287	18.40997	31.05527	23.46394	39.76057	13.27109	23.76239	33.34167	14.4748	18.55392	30.27637	11.20995	16.24454	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	0.82423	1.3259	0.76768	0.00346	0.11917	0.00366	0.06402	0.0729	0.05994	0.04671	0.05372	0.08201	0.00696	0.10983	0.62487	0.04256	0.09979	0.04035	1.49501	1.54523	1.38587
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.4817	1.39479	0.37904	0.25841	0.64776	0.38145	0.76444	1.22869	1.18997	0.5952	0.89196	0.51506	0.1516	0.30172	0.19184	0.21392	0.34893	0.27962	0.0	0.0	0.0
