#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t4_3_ZKDN230006877-1A_H3JM5DSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t4_3_ZKDN230006877-1A_H3JM5DSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t4_3/t4_3_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t4_3/t4_3_profiled_metagenome.txt
#68453424 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	96.06345	
k__Archaea	2157	3.93655	
k__Bacteria|p__Proteobacteria	2|1224	39.33923	
k__Bacteria|p__Firmicutes	2|1239	35.35754	
k__Bacteria|p__Actinobacteria	2|201174	21.08021	
k__Archaea|p__Thaumarchaeota	2157|651137	3.93655	
k__Bacteria|p__Bacteroidetes	2|976	0.17423	
k__Bacteria|p__Cyanobacteria	2|1117	0.04403	
k__Bacteria|p__Nitrospirae	2|40117	0.04272	
k__Bacteria|p__Chlamydiae	2|204428	0.02551	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	28.11242	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	21.0745	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	19.17879	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	12.67546	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	7.24512	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	6.61453	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	3.67647	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	0.78692	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.26008	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2|976|1853228	0.17423	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.08353	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	0.04403	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.04272	
k__Bacteria|p__Chlamydiae|c__Chlamydiia	2|204428|204429	0.02551	
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.0057	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	28.11242	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	18.55392	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	12.35102	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	7.24512	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	6.2696	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	2|201174|1760|85010	5.61207	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	3.67647	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	2.4999	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626	2|1224||	0.78692	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2|201174|1760|85008	0.67455	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	2|1224|1236|1692040	0.62487	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	0.26008	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.20767	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.19184	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	0.17423	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.11677	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.08353	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.0801	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.073	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales	2|1117||52604	0.04403	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.04272	
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	2|204428|204429|1963360	0.02551	
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Gaiellales	2|201174|84995|1154584	0.0057	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	28.08589	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	2|1224|1236|135614|32033	18.53906	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	9.85648	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified	2|1224|28211|356|	7.2671	
