#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed2/t6_2_ZKDN230011922-1A_HHNGYDSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed2/t6_2_ZKDN230011922-1A_HHNGYDSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t6_2/t6_2_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t6_2/t6_2_profiled_metagenome.txt
#55715028 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Archaea	2157	52.72686	
k__Bacteria	2	47.27314	
k__Archaea|p__Thaumarchaeota	2157|651137	52.72686	
k__Bacteria|p__Proteobacteria	2|1224	22.82626	
k__Bacteria|p__Actinobacteria	2|201174	11.76336	
k__Bacteria|p__Firmicutes	2|1239	9.86323	
k__Bacteria|p__Nitrospirae	2|40117	2.05852	
k__Bacteria|p__Cyanobacteria	2|1117	0.76177	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	48.70443	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	11.15471	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	10.50706	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	9.86323	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	5.07397	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	5.02213	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	4.02243	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	2.05852	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.54523	
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	1.2563	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	0.76177	
k__Bacteria|p__Proteobacteria|c__CFGB11088	2|1224|	0.02034	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00987	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	48.70443	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626	2|1224||	11.15471	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	9.86323	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	7.8799	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	5.02213	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	4.02243	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	2.75205	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	2.32193	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	2.05852	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	2|1224|1236|1692040	1.54523	
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	1.2563	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales	2|1117||52604	0.76177	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	2|201174|1760|85012	0.04061	
k__Bacteria|p__Proteobacteria|c__CFGB11088|o__OFGB11088	2|1224||	0.02034	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.00987	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified	2157|651137|1643678|1033996|	48.70443	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626|f__FGB52626	2|1224|||	11.15471	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	9.76875	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	2|201174|1760|85009|85015	7.8799	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	2157|651137|||	4.02243	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiaceae	2|1224|28211|356|45401	2.87366	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified	2|1224|28216||	2.75205	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	2.33822	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	2|1224|28216|32003|206379	2.32193	
