#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t3_1_ZKDN230006872-1A_H3JM5DSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t3_1_ZKDN230006872-1A_H3JM5DSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t3_1/t3_1_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t3_1/t3_1_profiled_metagenome.txt
#59336586 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	97.74567	
k__Archaea	2157	2.25433	
k__Bacteria|p__Proteobacteria	2|1224	66.63929	
k__Bacteria|p__Actinobacteria	2|201174	15.98115	
k__Bacteria|p__Firmicutes	2|1239	13.39914	
k__Archaea|p__Thaumarchaeota	2157|651137	2.23119	
k__Bacteria|p__Bacteroidetes	2|976	1.3661	
k__Bacteria|p__Planctomycetes	2|203682	0.17747	
k__Bacteria|p__Cyanobacteria	2|1117	0.1389	
k__Bacteria|p__Spirochaetes	2|203691	0.03178	
k__Archaea|p__Euryarchaeota	2157|28890	0.02314	
k__Bacteria|p__Nitrospirae	2|40117	0.01183	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	39.80729	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	19.32785	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	15.94487	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	6.90402	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.49512	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	5.88169	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	1.57115	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2|976|1853228	1.32294	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.00974	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.66004	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	0.60964	
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.17747	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	0.1389	
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2|976|768503	0.04316	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2|201174|84992	0.03272	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.03178	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2157|28890|224756	0.02314	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.01183	
k__Bacteria|p__Proteobacteria|c__CFGB14846	2|1224|	0.00309	
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00205	
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.0015	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	39.76057	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	17.78979	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	6.90402	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	6.49512	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	4.81032	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	2.10081	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	1.57115	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	1.32294	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	1.28365	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	1.00974	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	2|201174|1760|85010	0.90699	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	0.66004	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626	2|1224||	0.60964	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.5952	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.43413	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.25441	
