#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t2_1_ZKDN230006869-1A_H3JM5DSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t2_1_ZKDN230006869-1A_H3JM5DSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t2_1/t2_1_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t2_1/t2_1_profiled_metagenome.txt
#52723354 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	95.32032	
k__Archaea	2157	4.67968	
k__Bacteria|p__Proteobacteria	2|1224	72.51767	
k__Bacteria|p__Actinobacteria	2|201174	16.52818	
k__Archaea|p__Thaumarchaeota	2157|651137	4.67968	
k__Bacteria|p__Firmicutes	2|1239	3.54542	
k__Bacteria|p__Bacteroidetes	2|976	1.05347	
k__Bacteria|p__Chlamydiae	2|204428	0.55992	
k__Bacteria|p__Planctomycetes	2|203682	0.5259	
k__Bacteria|p__Spirochaetes	2|203691	0.38487	
k__Bacteria|p__Cyanobacteria	2|1117	0.12147	
k__Bacteria|p__Nitrospirae	2|40117	0.08342	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	48.68684	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	18.532	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	16.52818	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	3.55921	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	3.28693	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.03102	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	1.39276	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2|976|1853228	1.05347	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	0.97762	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.762	
k__Bacteria|p__Chlamydiae|c__Chlamydiia	2|204428|204429	0.55992	
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.5259	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.5144	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.38487	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	0.12147	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.08342	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	47.15972	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	18.40997	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	3.28693	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	3.03102	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	2.83522	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	2.55131	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	1.48102	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	1.39276	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	1.05347	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626	2|1224||	0.97762	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.76444	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.762	
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	2|204428|204429|1963360	0.55992	
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.5259	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.5144	
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales	2|203691|203692|1643688	0.38487	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2|201174|1760|85008	0.29977	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.22477	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	2|201174|1760|85010	0.16851	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales	2|1117||52604	0.11662	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.08342	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	2|1224|1236|1692040	0.06402	
