#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t4_2_ZKDN230006876-1A_H3JM5DSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t4_2_ZKDN230006876-1A_H3JM5DSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t4_2/t4_2_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t4_2/t4_2_profiled_metagenome.txt
#89379600 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	91.75954	
k__Archaea	2157	8.24046	
k__Bacteria|p__Proteobacteria	2|1224	69.4206	
k__Bacteria|p__Actinobacteria	2|201174	16.49146	
k__Archaea|p__Thaumarchaeota	2157|651137	8.24046	
k__Bacteria|p__Firmicutes	2|1239	4.82607	
k__Bacteria|p__Chlamydiae	2|204428	0.40696	
k__Bacteria|p__Nitrospirae	2|40117	0.25965	
k__Bacteria|p__Bacteroidetes	2|976	0.14178	
k__Bacteria|p__Cyanobacteria	2|1117	0.12158	
k__Bacteria|p__Chloroflexi	2|200795	0.06332	
k__Bacteria|p__Planctomycetes	2|203682	0.0218	
k__Bacteria|p__Verrucomicrobia	2|74201	0.00632	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	45.80258	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	16.4729	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	14.68905	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	7.32287	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	6.45147	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.75074	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	1.57439	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.07533	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.91759	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.88679	
k__Bacteria|p__Chlamydiae|c__Chlamydiia	2|204428|204429	0.40696	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.25965	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2|976|1853228	0.13825	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	0.12158	
k__Bacteria|p__Chloroflexi|c__CFGB49770	2|200795|	0.06332	
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.0218	
k__Bacteria|p__Proteobacteria|c__CFGB14846	2|1224|	0.01633	
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.01178	
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00678	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.00632	
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2|976|768503	0.00353	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	44.88251	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	14.4748	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	7.32287	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	5.78994	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	3.75074	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	2.94865	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	2|201174|1760|85010	2.21674	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626	2|1224||	1.57439	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	1.07533	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	0.91759	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.88679	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2|201174|1760|85008	0.62864	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.627	
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	2|204428|204429|1963360	0.40696	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.30172	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.25965	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.23457	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.19413	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	0.13825	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.12525	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales	2|1117||52604	0.12158	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	2|1224|1236|1692040	0.10983	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.10442	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	2|1224|28211|2800060	0.09894	
k__Bacteria|p__Chloroflexi|c__CFGB49770|o__OFGB49770	2|200795||	0.06332	
