#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t0_3_ZKDN230006865-1A_H3JM5DSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t0_3_ZKDN230006865-1A_H3JM5DSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t0_3/t0_3_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t0_3/t0_3_profiled_metagenome.txt
#73992482 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	79.24044	
k__Archaea	2157	20.75956	
k__Bacteria|p__Actinobacteria	2|201174	32.16994	
k__Bacteria|p__Proteobacteria	2|1224	24.21715	
k__Archaea|p__Thaumarchaeota	2157|651137	20.75956	
k__Bacteria|p__Firmicutes	2|1239	13.80797	
k__Bacteria|p__Nitrospirae	2|40117	6.57247	
k__Bacteria|p__Cyanobacteria	2|1117	2.4729	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	32.12656	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	19.88241	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	14.81227	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	13.80797	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	6.57247	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	4.38012	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	2.4729	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.10037	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.63819	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.95623	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.87715	
k__Bacteria|p__Proteobacteria|c__CFGB11088	2|1224|	0.31166	
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.04338	
k__Bacteria|p__Proteobacteria|c__CFGB35538	2|1224|	0.0183	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	28.57268	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	19.88241	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	14.81227	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	13.80797	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	6.57247	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626	2|1224||	4.38012	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales	2|1117||52604	1.80207	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	1.3327	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	1.13089	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.95623	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	0.87715	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	2|1224|1236|1692040	0.76768	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcidiopsidales	2|1117||1890505	0.50371	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.37904	
k__Bacteria|p__Proteobacteria|c__CFGB11088|o__OFGB11088	2|1224||	0.31166	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Oscillatoriales	2|1117||1150	0.14873	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.12826	
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Gaiellales	2|201174|84995|1154584	0.04338	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Nostocales	2|1117||1161	0.01839	
k__Bacteria|p__Proteobacteria|c__CFGB35538|o__OFGB35538	2|1224||	0.0183	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	2|201174|1760|85009|85015	28.57268	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified	2157|651137|1643678|1033996|	19.88241	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	13.36325	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae	2|1224|28211|356|31993	8.74806	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	2|40117|203693|189778|189779	6.57247	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626|f__FGB52626	2|1224|||	4.38012	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiaceae	2|1224|28211|356|45401	2.86472	
