#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed2/t6_1_ZKDN230011927-1A_HHNGYDSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed2/t6_1_ZKDN230011927-1A_HHNGYDSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t6_1/t6_1_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t6_1/t6_1_profiled_metagenome.txt
#67883084 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Archaea	2157	54.02967	
k__Bacteria	2	45.97033	
k__Archaea|p__Thaumarchaeota	2157|651137	54.02967	
k__Bacteria|p__Proteobacteria	2|1224	20.92358	
k__Bacteria|p__Firmicutes	2|1239	11.76703	
k__Bacteria|p__Actinobacteria	2|201174	10.76644	
k__Bacteria|p__Nitrospirae	2|40117	1.46385	
k__Bacteria|p__Cyanobacteria	2|1117	1.04944	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	50.58805	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	11.76703	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	10.76644	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	7.24557	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	6.03396	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	5.84147	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	3.44162	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.49501	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	1.46385	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	1.04944	
k__Bacteria|p__Proteobacteria|c__CFGB11088	2|1224|	0.30756	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	50.58805	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	11.76703	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	8.28542	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626	2|1224||	7.24557	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	5.79372	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	3.44162	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	3.22633	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	2.80763	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	2|1224|1236|1692040	1.49501	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	1.46385	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales	2|1117||52604	0.99027	
k__Bacteria|p__Proteobacteria|c__CFGB11088|o__OFGB11088	2|1224||	0.30756	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcidiopsidales	2|1117||1890505	0.05917	
