#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t2_3_ZKDN230006871-1A_H3JM5DSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t2_3_ZKDN230006871-1A_H3JM5DSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t2_3/t2_3_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t2_3/t2_3_profiled_metagenome.txt
#68626526 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.33793	
k__Archaea	2157	1.66207	
k__Bacteria|p__Proteobacteria	2|1224	50.11172	
k__Bacteria|p__Firmicutes	2|1239	26.78507	
k__Bacteria|p__Actinobacteria	2|201174	19.98702	
k__Archaea|p__Thaumarchaeota	2157|651137	1.64522	
k__Bacteria|p__Bacteroidetes	2|976	0.89743	
k__Bacteria|p__Spirochaetes	2|203691	0.15191	
k__Bacteria|p__Planctomycetes	2|203682	0.14159	
k__Bacteria|p__Cyanobacteria	2|1117	0.12094	
k__Bacteria|p__Nitrospirae	2|40117	0.10282	
k__Bacteria|p__Chlamydiae	2|204428	0.03944	
k__Archaea|p__Euryarchaeota	2157|28890	0.01685	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	23.81002	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	20.74682	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	20.69365	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	19.9744	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	5.89279	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	5.02451	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	1.16111	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2|976|1853228	0.89195	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	0.49474	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.48411	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.15191	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.14546	
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.14159	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	0.12094	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.10282	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.08466	
k__Bacteria|p__Chlamydiae|c__Chlamydiia	2|204428|204429	0.03944	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2157|28890|224756	0.01685	
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00651	
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00611	
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2|976|768503	0.00548	
k__Bacteria|p__Proteobacteria|c__CFGB11088	2|1224|	0.00414	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	23.46394	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	20.74682	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	19.76377	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	5.89279	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	3.46568	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	2.72604	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.18997	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	1.16111	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	2|201174|1760|85010	1.11664	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	0.89195	
